Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2592,2592,2592,3,3,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,4,1.0,1.35,0.735,0.0,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10960,10960,11000,11,11,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10,10,1.0,1.35,0.735,0.0,0
Antdix,1NNnUkWk29x6PBMyUpRDXv4dEMNrw5qjWY,0,0,0,16996,16996,16996,17,0,17,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12,12,1.0,1.35,0.735,1.02,17
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,36347,36347,36347,36,35,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36,36,1.0,1.35,0.735,1.02,1
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,701,210,36,39512,40213,40082,40,13,27,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,68,68,1.0,1.35,0.735,1.02,28
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22207,22207,22207,22,22,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15,15,1.0,1.35,0.735,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,0,86741,86741,86741,87,85,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30,30,1.0,1.35,0.735,1.02,2
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10533,10533,10573,11,11,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,12,0.0,0.0,0.6,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36734,36734,36734,37,37,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8,15,0.533,0.596,0.66,0.0,0
Ben,1DbJtgRfXqa2Vjh4Qfe35gGqMVEbC7DoAu,0,0,15,1946,1946,2096,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,27584,27584,27584,28,28,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,26,0.0385,0.0195,0.602,0.0,0
Bittzy78,1Pz1K3res89p4GF3N26gz93CzbyWUcjEAb,3084,925,6,12925,16009,13910,14,12,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13,13,1.0,1.35,0.735,1.02,2
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1281,1281,1281,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,1.0,1.35,0.735,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Caprigon,1Q4siL9KD2W8cy5eguRr5z5R1iCca27Qqv,0,0,0,14008,14008,14008,14,0,14,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,5,1.0,1.35,0.735,1.02,14
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3950,3950,3950,4,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6,0.0,0.0,0.6,0.0,0
